"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PER","Persons","3","Thousands",,,51.66667,,
"CZE","Czech Republic","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PER","Persons","3","Thousands",,,54.33333,,
"CZE","Czech Republic","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PER","Persons","3","Thousands",,,54,,
"CZE","Czech Republic","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PER","Persons","3","Thousands",,,65.66666,,
"CZE","Czech Republic","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PER","Persons","3","Thousands",,,73,,
"CZE","Czech Republic","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PER","Persons","3","Thousands",,,112,,
"CZE","Czech Republic","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PER","Persons","3","Thousands",,,106.3333,,
"CZE","Czech Republic","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PER","Persons","3","Thousands",,,108.3333,,
"CZE","Czech Republic","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PER","Persons","3","Thousands",,,109.6667,,
"CZE","Czech Republic","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PER","Persons","3","Thousands",,,109.6667,,
"CZE","Czech Republic","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PER","Persons","3","Thousands",,,130.6667,,
"CZE","Czech Republic","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PER","Persons","3","Thousands",,,146.3333,,
"DNK","Denmark","LFHUTTFE","Unemployment (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PER","Persons","3","Thousands",,,80.33334,,
"DNK","Denmark","LFHUTTFE","Unemployment (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PER","Persons","3","Thousands",,,71.33334,,
"DNK","Denmark","LFHUTTFE","Unemployment (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PER","Persons","3","Thousands",,,73.33334,,
"DNK","Denmark","LFHUTTFE","Unemployment (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PER","Persons","3","Thousands",,,77.66666,,
"DNK","Denmark","LFHUTTFE","Unemployment (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PER","Persons","3","Thousands",,,72,,
"DNK","Denmark","LFHUTTFE","Unemployment (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PER","Persons","3","Thousands",,,83.33334,,
"DNK","Denmark","LFHUTTFE","Unemployment (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PER","Persons","3","Thousands",,,90.33334,,
"DNK","Denmark","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PER","Persons","3","Thousands",,,79,,
"DNK","Denmark","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PER","Persons","3","Thousands",,,78.33334,,
"DNK","Denmark","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PER","Persons","3","Thousands",,,75.33334,,
"DNK","Denmark","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PER","Persons","3","Thousands",,,76.33334,,
"DNK","Denmark","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PER","Persons","3","Thousands",,,75.66666,,
"DNK","Denmark","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PER","Persons","3","Thousands",,,80.66666,,
"DNK","Denmark","LFHUTTMA","Unemployment (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PER","Persons","3","Thousands",,,97,,
"DNK","Denmark","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PER","Persons","3","Thousands",,,159.3333,,
"DNK","Denmark","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PER","Persons","3","Thousands",,,149.6667,,
"DNK","Denmark","LFHUTTTT","Unemployment (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PER","Persons","3","Thousands",,,148.6667,,
