,Country,unemployment_rate,quarter,year,GDP_growth_rate_change_quart,GDP_growth_rate_change_year,GDP_per_capita
126,Netherlands,3.4666669999999997,Q3,2019,1.611571787,0.33090195899999997,59749.7
127,Netherlands,3.4,Q4,2019,1.6590414880000002,0.45347504,60137.4
128,Netherlands,2.933333,Q1,2020,-0.36523092700000004,-1.4944456590000001,59410.8
129,Netherlands,3.766667,Q2,2020,-9.200904545,-8.542121912,53978.3
130,Netherlands,4.5,Q3,2020,-2.547165754,7.683129545,58574.3
131,New Zealand,4.2,Q1,2019,3.012248221,0.447294621,43133.6
132,New Zealand,4.0,Q2,2019,2.09087991,0.14509097199999998,43390.6
133,New Zealand,4.2,Q3,2019,2.319036866,0.720095198,43703.9
134,New Zealand,4.1,Q4,2019,1.7871603090000001,0.463651969,43807.6
135,New Zealand,4.2,Q1,2020,-0.122880936,-1.437603976,43168.6
136,New Zealand,4.0,Q2,2020,-12.399311546,-12.164277497999999,38691.4
137,New Zealand,5.3,Q3,2020,,,
138,Norway,3.733333,Q1,2019,0.852434237,-0.061478135999999996,67874.7
139,Norway,3.433333,Q2,2019,0.800774435,0.15960594,67035.0
140,Norway,3.8,Q3,2019,0.06126307,-0.050586039000000006,66656.5
141,Norway,3.9,Q4,2019,1.717922665,1.669737255,67910.8
142,Norway,3.6,Q1,2020,0.25098509399999996,-1.5027538580000002,66134.6
143,Norway,4.633333,Q2,2020,-4.576975647,-4.6639540969999995,59943.5
144,Poland,3.733333,Q1,2019,5.271546065,1.699965612,33133.5
145,Poland,3.333333,Q2,2019,4.656143289,0.7386023270000001,33795.5
146,Poland,3.1333330000000004,Q3,2019,4.42054868,1.151561981,34434.3
147,Poland,2.933333,Q4,2019,3.888351171,0.248419172,34713.2
148,Poland,3.0,Q1,2020,1.885189836,-0.26099956399999996,34773.9
149,Poland,3.266667,Q2,2020,-7.96494226,-9.000679129,31482.4
150,Poland,3.1333330000000004,Q3,2020,-2.006714803,7.69997982,
151,Portugal,6.5,Q1,2019,2.454530684,0.666772653,35762.3
152,Portugal,6.6,Q2,2019,2.165877251,0.542915963,36441.6
153,Portugal,6.466667,Q3,2019,2.037741669,0.396466374,36838.8
154,Portugal,6.633333,Q4,2019,2.28809548,0.662808505,37291.3
155,Portugal,6.466667,Q1,2020,-2.453839463,-4.0,35865.1
156,Portugal,6.5,Q2,2020,-16.466273702,-13.89999999,30625.9
157,Portugal,7.9,Q3,2020,-5.8132406660000004,13.199999992,
158,Slovakia,5.866667,Q1,2019,3.1441163339999996,0.619756047,33537.8
159,Slovakia,5.766667,Q2,2019,2.3778757,0.351754082,33934.2
160,Slovakia,5.766667,Q3,2019,1.81383431,0.378810783,34227.3
161,Slovakia,5.633333,Q4,2019,1.951082674,0.586933374,34588.8
162,Slovakia,5.966667,Q1,2020,-3.821988623,-5.077927689,32984.0
163,Slovakia,6.733333,Q2,2020,-12.114778151,-8.300909489,30079.1
164,Slovakia,6.8333330000000005,Q3,2020,-2.244499234,11.652228985999999,
165,Spain,14.233329999999999,Q1,2019,2.225727787,0.522265726,41569.9
166,Spain,14.2,Q2,2019,2.080913368,0.378039987,42085.0
167,Spain,14.233329999999999,Q3,2019,1.820349085,0.353791001,42372.4
168,Spain,13.833329999999998,Q4,2019,1.679243494,0.414757334,42655.6
169,Spain,13.933329999999998,Q1,2020,-4.1591137289999995,-5.2496585719999995,40539.8
170,Spain,15.46667,Q2,2020,-21.507740437,-17.791879065,33105.9
171,Spain,16.566670000000002,Q3,2020,-8.723952236,16.69809828,39002.6
172,Sweden,6.733333,Q1,2019,1.869887249,0.405899694,55184.6
173,Sweden,6.5,Q2,2019,1.042290451,0.073877939,55796.7
174,Sweden,7.0,Q3,2019,1.7675926219999998,-0.145021614,56133.8
175,Sweden,6.9,Q4,2019,0.781824518,0.445973689,56477.5
176,Sweden,7.2,Q1,2020,0.707890769,0.33224172399999996,56778.5
177,Sweden,8.5,Q2,2020,-7.366827519,-7.950005453999999,51773.1
178,Sweden,9.066667,Q3,2020,-2.658554481,4.9303146810000005,
179,Switzerland,4.63352,Q1,2019,1.162205659,0.184210347,73005.8
180,Switzerland,4.467111,Q2,2019,0.559524748,0.384025094,73692.3
181,Switzerland,4.3998550000000005,Q3,2019,1.255889974,0.507429671,74217.5
182,Switzerland,4.078005,Q4,2019,1.478808324,0.395282687,74665.4
183,Switzerland,4.22411,Q1,2020,-0.671797303,-1.9389593090000001,73442.1
184,Switzerland,4.915972,Q2,2020,-8.248530876,-7.27324638,67579.2
185,Switzerland,5.049104,Q3,2020,,,
186,Turkey,13.6,Q1,2019,-2.4312937690000003,1.68391889,
187,Turkey,13.866670000000001,Q2,2019,-0.91636595,2.069018405,
188,Turkey,14.066670000000002,Q3,2019,1.090248314,0.402412459,
189,Turkey,13.3,Q4,2019,6.297175046,2.007325485,
190,Turkey,12.7,Q1,2020,4.7234915619999995,0.17853265899999998,
191,Turkey,13.96667,Q2,2020,-8.463648511,-10.783861332999999,
192,United Kingdom,3.733333,Q1,2019,1.707185062,0.551073721,48087.9
193,United Kingdom,3.766667,Q2,2019,1.301344217,-0.017923531,48531.7
194,United Kingdom,3.766667,Q3,2019,1.02879816,0.325823198,48940.2
195,United Kingdom,3.7,Q4,2019,1.011292738,0.149395602,49193.2
196,United Kingdom,3.8666669999999996,Q1,2020,-2.0765427169999997,-2.522693203,48147.6
197,United Kingdom,3.766667,Q2,2020,-21.462009163,-19.810925559,38560.8
198,United States,3.8666669999999996,Q1,2019,2.265801706,0.72512256,64391.1
199,United States,3.6333330000000004,Q2,2019,1.963163295,0.37071616700000004,64976.6
200,United States,3.6333330000000004,Q3,2019,2.0764805269999997,0.6369147470000001,65525.9
201,United States,3.5333330000000003,Q4,2019,2.338884878,0.58623185,66064.2
202,United States,3.833333,Q1,2020,0.319260645,-1.262654605,65430.2
203,United States,13.03333,Q2,2020,-9.032775466,-8.986116769,59170.1
204,United States,8.833333,Q3,2020,-2.9163643610000003,7.4034918979999995,64041.1
205,Chile,7.2120429999999995,Q1,2019,1.866873926,0.071490463,24867.5
206,Chile,6.966049000000001,Q2,2019,1.848676044,1.0725550879999999,25251.5
207,Chile,7.138275999999999,Q3,2019,2.801699065,0.8087692740000001,25497.0
208,Chile,7.600681,Q4,2019,-2.3966707940000003,-4.275588305,24602.8
209,Chile,8.183977,Q1,2020,0.428851181,2.968463318,25214.0
210,Chile,11.7563,Q2,2020,-14.019194412000001,-13.468095999,22319.8
211,Chile,11.980310000000001,Q3,2020,-10.25430048,5.222944289,
212,Estonia,4.2,Q1,2019,5.220704121,1.9633896569999998,38061.6
213,Estonia,4.866667,Q2,2019,4.81717753,0.7715912009999999,38706.1
214,Estonia,4.2,Q3,2019,5.479490946,1.403718229,39438.3
215,Estonia,4.266667,Q4,2019,4.122982985,-0.066674236,39573.4
216,Estonia,4.733333,Q1,2020,-0.111647347,-2.18341108,38803.8
217,Estonia,7.0,Q2,2020,-6.462913731,-5.635834716000001,36436.1
218,Israel,4.079326,Q1,2019,3.1580024069999997,1.32266361,41634.7
219,Israel,3.8962809999999997,Q2,2019,2.988580179,0.17968485899999997,41857.5
220,Israel,3.5880080000000003,Q3,2019,3.274689458,1.00240225,42363.8
221,Israel,3.700857,Q4,2019,3.692129289,1.1411366729999999,42849.1
222,Israel,3.5360400000000003,Q1,2020,0.508121131,-1.788586875,42071.2
223,Israel,4.186847,Q2,2020,-8.151447508,-8.4515864,38238.2
224,Israel,4.739189,Q3,2020,-1.4471176119999998,8.374901942000001,
225,Slovenia,4.466667,Q1,2019,4.569775095,0.869832692,40542.9
226,Slovenia,4.366667,Q2,2019,3.171221445,-0.036185759,40843.3
227,Slovenia,4.8,Q3,2019,2.7441866889999997,0.846776547,41347.1
228,Slovenia,4.1,Q4,2019,2.092196677,0.398311321,41658.4
229,Slovenia,4.266667,Q1,2020,-3.549662133,-4.704475363,39821.2
230,Slovenia,5.4,Q2,2020,-13.107421145999998,-9.942113179,35659.6
231,Slovenia,4.733333,Q3,2020,,,
232,Latvia,6.566667,Q1,2019,3.5723062939999997,-0.526247742,31589.1
233,Latvia,6.366667,Q2,2019,2.444780845,0.642133589,32065.5
234,Latvia,6.2,Q3,2019,1.538465828,0.521661443,32413.5
235,Latvia,6.066667,Q4,2019,0.7502284379999999,0.11474510800000001,32620.0
236,Latvia,7.066667,Q1,2020,-1.012799396,-2.266938525,32058.3
237,Latvia,8.6,Q2,2020,-8.604813493,-7.0768087820000005,29667.7
238,Latvia,8.733334,Q3,2020,-3.088074096,6.589287443,
239,Lithuania,6.033333,Q1,2019,4.884058468,1.6117939890000001,37707.5
240,Lithuania,6.1,Q2,2019,4.43013214,0.7500136079999999,38291.5
241,Lithuania,6.566667,Q3,2019,4.142143101,0.6587478529999999,38680.3
242,Lithuania,6.433333,Q4,2019,3.852987715,0.780901519,39123.8
243,Lithuania,6.3333330000000005,Q1,2020,2.1781251669999997,-0.026924279,39310.0
244,Lithuania,8.366667,Q2,2020,-4.578170574,-5.91185151,36799.9
245,Lithuania,9.466666,Q3,2020,-1.69499856,3.7001534360000004,
246,Colombia,10.4493,Q1,2019,3.055806472,0.897739933,
247,Colombia,10.29422,Q2,2019,3.1641288530000002,0.9302583720000001,
248,Colombia,10.76895,Q3,2019,3.449546888,0.839128248,
249,Colombia,10.65547,Q4,2019,3.3672558610000003,0.6586452770000001,
250,Colombia,11.21777,Q1,2020,1.033436321,-1.380323028,
251,Colombia,20.66599,Q2,2020,-16.019190404,-16.104953772000002,
252,Colombia,17.81942,Q3,2020,-9.466497922,8.707209073,
